taxi_id,trip_start_timestamp,trip_seconds,trip_miles,trip_total
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-28 17:30:00,590,0.94,10.5
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-28 17:45:00,600,1.61,10.25
38947b1034874e090fbed3ebcb439de6ad1ee98bbb6ad7c14207e680d5468c83fe20a48f6558f567027b7bdb4a5747bb17081e3bb6fbe8cca6a86b5018466dc7,2017-03-30 08:15:00,360,0.7,7.75
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-29 18:30:00,3720,15.5,51.75
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-30 08:30:00,1560,3.1,18.2
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-30 09:15:00,420,0.7,7.0
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-30 14:15:00,180,0.5,6.0
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-29 08:00:00,240,1.1,8.25
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-29 09:00:00,240,0.5,7.25
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-29 09:00:00,300,0.8,5.75
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-29 13:15:00,2400,18.2,54.75
0cf1289b8acf557ac9673f1b9a4b544f295d83edb49af8429a57b45e0600bcfe523c7b2e8378b5b9a41550ee97cb33bc0b99ec7a73869f6e892e551bc4c2678e,2017-03-29 15:00:00,2340,17.5,52.1
ec84a47de06d11f386d9d4addf9edcd0211c093c4ccde510910ab0385716cc9a3b279b5b2c44fbbddbf7a846893cd0096689d03bd8c8a27ab6daa38d208f8ddc,2017-04-01 23:45:00,360,1.3,8.0
ec84a47de06d11f386d9d4addf9edcd0211c093c4ccde510910ab0385716cc9a3b279b5b2c44fbbddbf7a846893cd0096689d03bd8c8a27ab6daa38d208f8ddc,2017-04-01 03:30:00,120,0.5,6.0
ec84a47de06d11f386d9d4addf9edcd0211c093c4ccde510910ab0385716cc9a3b279b5b2c44fbbddbf7a846893cd0096689d03bd8c8a27ab6daa38d208f8ddc,2017-04-01 04:45:00,0,0.0,3.25
ec84a47de06d11f386d9d4addf9edcd0211c093c4ccde510910ab0385716cc9a3b279b5b2c44fbbddbf7a846893cd0096689d03bd8c8a27ab6daa38d208f8ddc,2017-04-01 03:30:00,300,1.1,7.95
ec84a47de06d11f386d9d4addf9edcd0211c093c4ccde510910ab0385716cc9a3b279b5b2c44fbbddbf7a846893cd0096689d03bd8c8a27ab6daa38d208f8ddc,2017-04-01 03:45:00,840,1.4,12.5
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 16:45:00,2280,6.3,25.0
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 17:45:00,360,0.9,7.5
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 18:30:00,720,0.4,10.5
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 18:45:00,600,0.5,6.5
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 19:15:00,540,0.7,8.0
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 19:15:00,840,1.6,11.5
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 20:15:00,480,1.0,8.25
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 21:00:00,240,0.5,4.75
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 21:15:00,840,4.1,17.81
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-05 22:00:00,720,0.8,7.25
